ID,Bank Name,Type,City,State,Zip code
1,Amazing Bank,Branch,New York,NY,10018
2,Neighborhood Bank,Branch,New York,NY,10020
3,Friendly Bank,ATM,New York,NY,10020
4,Awesome Bank,Branch,New York,NY,10021
5,Amazing Bank,ATM,New York,NY,10018
6,Neighborhood Bank,ATM,Winston-Salem,NC,27105
7,Amazing Bank,ATM,Winston-Salem,NC,27106
8,Neighborhood Bank,Branch,Winston-Salem,NC,27107
9,Awesome Bank,ATM,Dallas,TX,75201
10,Friendly Bank,Branch,Dallas,TX,75201
11,Amazing Bank,ATM,Dallas,TX,75202
